City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Magadi,IN,2021-06-06 19:25:17,12.9667,77.2333,75.54,86,100,7.25
1,Hare Bay,CA,2021-06-06 19:25:17,48.8499,-54.0148,51.19,59,97,14.88
2,Villarrica,PY,2021-06-06 19:25:17,-25.75,-56.4333,67.62,92,100,6.69
3,Busselton,AU,2021-06-06 19:18:03,-33.65,115.3333,48.09,74,0,7.99
4,Albany,US,2021-06-06 19:21:09,42.6001,-73.9662,92.44,41,57,1.01
5,Kalmunai,LK,2021-06-06 19:24:07,7.4167,81.8167,82.15,74,100,3.49
6,Port Alfred,ZA,2021-06-06 19:18:04,-33.5906,26.891,65.43,37,0,8.88
7,Jamestown,US,2021-06-06 19:22:34,42.097,-79.2353,85.32,50,1,9.22
8,Ushuaia,AR,2021-06-06 19:20:28,-54.8,-68.3,38.86,81,75,0.0
9,Nikolskoye,RU,2021-06-06 19:20:53,59.7035,30.7861,67.89,71,55,5.17
10,Yellowknife,CA,2021-06-06 19:15:18,62.456,-114.3525,47.32,61,100,7.0
11,Emerald,AU,2021-06-06 19:25:19,-23.5333,148.1667,46.35,65,0,5.75
12,Guayaramerin,BO,2021-06-06 19:25:19,-10.8368,-65.3614,82.45,74,75,2.51
13,Berlevag,NO,2021-06-06 19:24:15,70.8578,29.0864,40.95,65,40,6.91
14,Port Elizabeth,ZA,2021-06-06 19:20:33,-33.918,25.5701,64.09,93,20,2.3
15,Qaanaaq,GL,2021-06-06 19:23:15,77.484,-69.3632,40.24,85,51,5.41
16,Sawtell,AU,2021-06-06 19:25:20,-30.3833,153.1,44.19,95,0,5.75
17,Bluff,NZ,2021-06-06 19:23:12,-46.6,168.3333,46.65,84,79,8.55
18,Esperance,AU,2021-06-06 19:21:18,-33.8667,121.9,53.44,60,100,27.25
19,Wanning,CN,2021-06-06 19:25:21,18.8003,110.3967,79.02,92,35,3.29
20,Wajir,KE,2021-06-06 19:25:21,1.7471,40.0573,84.24,45,14,25.41
21,Sawai Madhopur,IN,2021-06-06 19:25:22,25.9833,76.3667,90.09,33,31,1.39
22,Bilma,NE,2021-06-06 19:24:26,18.6853,12.9164,95.18,15,100,2.8
23,Dalvik,IS,2021-06-06 19:25:22,65.9702,-18.5286,57.13,73,96,5.21
24,Egvekinot,RU,2021-06-06 19:25:23,66.3167,-179.1667,34.3,75,12,1.54
25,Hobart,AU,2021-06-06 19:20:58,-42.8794,147.3294,53.46,79,100,1.99
26,Westport,US,2021-06-06 19:24:36,41.1415,-73.3579,96.62,42,1,3.0
27,Longyearbyen,SJ,2021-06-06 19:23:09,78.2186,15.6401,40.84,65,0,19.57
28,Solnechnyy,RU,2021-06-06 19:25:24,50.7214,136.6319,48.36,99,100,4.88
29,Bambous Virieux,MU,2021-06-06 19:24:28,-20.3428,57.7575,73.65,83,40,10.63
30,Gat,IL,2021-06-06 19:21:22,31.61,34.7642,73.81,66,0,4.03
31,Cabo San Lucas,MX,2021-06-06 19:20:55,22.8909,-109.9124,103.8,36,1,9.22
32,Tuktoyaktuk,CA,2021-06-06 19:23:24,69.4541,-133.0374,33.8,69,90,8.05
33,Thompson,CA,2021-06-06 19:23:26,55.7435,-97.8558,62.76,72,75,5.75
34,Krasnorechenskiy,RU,2021-06-06 19:25:25,44.6265,135.3532,49.89,97,51,5.35
35,Tasiilaq,GL,2021-06-06 19:21:18,65.6145,-37.6368,44.76,90,95,3.74
36,Namatanai,PG,2021-06-06 19:25:26,-3.6667,152.4333,79.02,85,100,3.91
37,Ukiah,US,2021-06-06 19:25:26,39.1502,-123.2078,90.12,25,1,14.97
38,Puerto Ayora,EC,2021-06-06 19:22:34,-0.7393,-90.3518,82.36,87,35,5.99
39,Punta Arenas,CL,2021-06-06 19:21:57,-53.15,-70.9167,42.91,70,0,9.75
40,Muscat,OM,2021-06-06 19:23:50,23.6139,58.5922,87.82,79,1,10.8
41,Cidreira,BR,2021-06-06 19:21:26,-30.1811,-50.2056,63.41,79,100,10.76
42,Georgetown,MY,2021-06-06 19:23:04,5.4112,100.3354,80.89,88,20,3.44
43,Henties Bay,NA,2021-06-06 19:23:41,-22.116,14.2845,74.86,43,0,2.04
44,Port Blair,IN,2021-06-06 19:23:13,11.6667,92.75,83.88,77,100,11.03
45,Bredasdorp,ZA,2021-06-06 19:18:02,-34.5322,20.0403,47.52,66,6,6.35
46,Balkanabat,TM,2021-06-06 19:25:28,39.5108,54.3671,78.37,46,0,9.91
47,Klyuchi,RU,2021-06-06 19:25:29,52.2667,79.1667,61.25,45,1,2.82
48,Murdochville,CA,2021-06-06 19:25:29,48.9583,-65.5006,49.08,36,100,3.53
49,Avarua,CK,2021-06-06 19:21:24,-21.2078,-159.775,71.65,78,75,3.44
50,Vardo,NO,2021-06-06 19:25:30,70.3705,31.1107,43.0,73,6,9.04
51,Chapais,CA,2021-06-06 19:25:30,49.7834,-74.8492,74.98,31,49,8.55
52,Carnarvon,AU,2021-06-06 19:20:30,-24.8667,113.6333,59.07,82,100,6.91
53,Narsaq,GL,2021-06-06 19:23:20,60.9167,-46.05,57.42,68,100,6.78
54,Provideniya,RU,2021-06-06 19:23:03,64.3833,-173.3,35.71,80,0,4.47
55,Cedar City,US,2021-06-06 19:24:12,37.6775,-113.0619,85.39,9,1,17.27
56,Faro,PT,2021-06-06 19:25:32,37.0194,-7.9322,73.18,56,0,11.5
57,Rio Grande,BR,2021-06-06 19:25:32,-32.035,-52.0986,59.11,62,100,11.97
58,Bonoua,CI,2021-06-06 19:25:32,5.2741,-3.595,80.22,83,60,6.46
59,Castro,BR,2021-06-06 19:20:49,-24.7911,-50.0119,68.86,61,100,4.38
60,Ranong,TH,2021-06-06 19:25:33,9.9658,98.6348,78.66,90,100,9.4
61,Palu,ID,2021-06-06 19:25:33,-0.8917,119.8707,75.36,97,100,2.39
62,Paita,PE,2021-06-06 19:25:34,-5.0892,-81.1144,77.56,72,88,13.8
63,Rikitea,PF,2021-06-06 19:15:43,-23.1203,-134.9692,76.71,84,100,15.05
64,Sulphur,US,2021-06-06 19:25:34,30.2366,-93.3774,87.76,69,75,9.73
65,Chuy,UY,2021-06-06 19:22:40,-33.6971,-53.4616,56.3,69,100,5.91
66,Nokia,FI,2021-06-06 19:25:35,61.4667,23.5,69.78,42,0,5.75
67,Tuy Hoa,VN,2021-06-06 19:25:35,13.0833,109.3,80.29,79,100,6.17
68,Bonthe,SL,2021-06-06 19:25:35,7.5264,-12.505,81.0,83,98,9.01
69,Grevesmuhlen,DE,2021-06-06 19:25:36,53.8667,11.1833,65.28,77,100,1.79
70,Mabaruma,GY,2021-06-06 19:25:36,8.2,-59.7833,83.79,69,54,7.76
71,Pevek,RU,2021-06-06 19:22:32,69.7008,170.3133,46.51,72,22,12.62
72,Koslan,RU,2021-06-06 19:25:37,63.4564,48.8989,51.01,62,47,5.61
73,Hilo,US,2021-06-06 19:20:25,19.7297,-155.09,78.8,67,90,3.44
74,Ilhabela,BR,2021-06-06 19:25:37,-23.7781,-45.3581,74.73,73,97,7.72
75,Coquimbo,CL,2021-06-06 19:25:38,-29.9533,-71.3436,56.93,82,75,8.41
76,Catio,GW,2021-06-06 19:25:38,11.2833,-15.25,81.91,73,1,12.44
77,Hambantota,LK,2021-06-06 19:23:36,6.1241,81.1185,79.97,84,100,15.14
78,Goderich,CA,2021-06-06 19:25:38,43.7501,-81.7165,87.21,45,19,10.36
79,Arraial Do Cabo,BR,2021-06-06 19:19:42,-22.9661,-42.0278,80.56,73,0,11.5
80,Bandar-E Lengeh,IR,2021-06-06 19:25:39,26.5579,54.8807,89.06,73,1,13.35
81,Butaritari,KI,2021-06-06 19:22:41,3.0707,172.7902,81.81,73,25,4.97
82,Atuona,PF,2021-06-06 19:20:51,-9.8,-139.0333,79.7,64,71,8.37
83,Jiuquan,CN,2021-06-06 19:22:19,39.7432,98.5174,62.83,25,5,4.32
84,Kavieng,PG,2021-06-06 19:23:20,-2.5744,150.7967,81.48,77,89,7.61
85,New Norfolk,AU,2021-06-06 19:15:28,-42.7826,147.0587,53.1,83,100,1.99
86,Menongue,AO,2021-06-06 19:25:40,-14.6585,17.691,56.93,49,21,5.14
87,Mazeikiai,LT,2021-06-06 19:25:40,56.3167,22.3333,57.24,79,69,5.53
88,Mataura,NZ,2021-06-06 19:20:32,-46.1927,168.8643,43.68,87,90,2.26
89,Hearst,CA,2021-06-06 19:25:41,49.6835,-83.6665,84.45,45,100,11.77
90,Pangnirtung,CA,2021-06-06 19:25:41,66.1451,-65.7125,41.0,70,75,10.36
91,Ilulissat,GL,2021-06-06 19:23:05,69.2167,-51.1,42.82,70,94,4.61
92,Vaini,TO,2021-06-06 19:20:47,-21.2,-175.2,73.56,88,20,8.05
93,San Cristobal,VE,2021-06-06 19:24:06,7.7669,-72.225,71.78,89,100,4.21
94,Kapaa,US,2021-06-06 19:21:13,22.0752,-159.319,80.58,71,90,1.99
95,Cururupu,BR,2021-06-06 19:21:56,-1.8283,-44.8683,82.47,79,24,3.74
96,Palombara Sabina,IT,2021-06-06 19:25:43,42.0667,12.768,64.8,86,99,1.74
97,Biak,ID,2021-06-06 19:24:03,-0.9131,122.8766,75.34,75,90,4.27
98,Pisco,PE,2021-06-06 19:25:43,-13.7,-76.2167,66.02,82,90,5.75
99,Fujin,CN,2021-06-06 19:25:44,47.26,132.0322,53.02,85,0,6.6
100,Richards Bay,ZA,2021-06-06 19:23:11,-28.783,32.0377,60.22,75,0,7.65
101,Dikson,RU,2021-06-06 19:20:29,73.5069,80.5464,29.98,87,100,9.75
102,Mar Del Plata,AR,2021-06-06 19:21:25,-38.0023,-57.5575,57.22,59,0,1.01
103,Leshukonskoye,RU,2021-06-06 19:23:46,64.8989,45.7622,44.49,52,44,8.97
104,Cape Town,ZA,2021-06-06 19:21:03,-33.9258,18.4232,70.12,26,0,12.15
105,Batagay-Alyta,RU,2021-06-06 19:25:45,67.8006,130.4114,43.11,69,81,2.48
106,Olafsvik,IS,2021-06-06 19:25:45,64.8945,-23.7142,47.62,86,100,1.63
107,Touros,BR,2021-06-06 19:25:46,-5.1989,-35.4608,77.9,79,38,13.73
108,Riyadh,SA,2021-06-06 19:25:10,24.6877,46.7219,102.25,8,0,5.75
109,Dongsheng,CN,2021-06-06 19:25:47,39.8161,109.9776,67.59,39,100,13.53
110,Grand-Santi,GF,2021-06-06 19:25:47,4.25,-54.3833,83.39,69,94,5.91
111,Havre,FR,2021-06-06 19:25:47,49.5833,0.3333,64.49,88,0,4.29
112,Launceston,AU,2021-06-06 19:21:58,-41.45,147.1667,54.81,94,90,4.0
113,Colquechaca,BO,2021-06-06 19:25:48,-18.6667,-66.0167,42.57,21,71,14.85
114,Dubbo,AU,2021-06-06 19:25:48,-32.25,148.6167,35.73,93,14,5.75
115,Saint-Philippe,RE,2021-06-06 19:23:19,-21.3585,55.7679,71.15,84,61,12.97
116,Bengkulu,ID,2021-06-06 19:24:33,-3.8004,102.2655,74.12,91,83,4.63
117,Pathein,MM,2021-06-06 19:23:36,16.7833,94.7333,83.59,77,99,7.31
118,Lamar,US,2021-06-06 19:25:49,33.6668,-95.5836,85.66,69,75,8.95
119,Aklavik,CA,2021-06-06 19:22:36,68.2191,-135.0107,39.92,70,75,4.61
120,Waingapu,ID,2021-06-06 19:25:50,-9.6567,120.2641,76.66,87,57,7.31
121,Mehamn,NO,2021-06-06 19:21:55,71.0357,27.8492,41.18,70,6,4.0
122,Severo-Kurilsk,RU,2021-06-06 19:23:53,50.6789,156.125,41.77,94,100,7.05
123,Kahului,US,2021-06-06 19:23:32,20.8947,-156.47,82.42,67,20,17.27
124,Lebanon,US,2021-06-06 19:25:51,36.2081,-86.2911,75.72,88,75,9.22
125,Hami,CN,2021-06-06 19:22:31,42.8,93.45,68.25,13,0,13.09
126,Saskylakh,RU,2021-06-06 19:22:39,71.9167,114.0833,35.6,72,53,4.45
127,Kincardine,GB,2021-06-06 19:25:52,56.0667,-3.7167,64.49,70,7,5.01
128,Warrnambool,AU,2021-06-06 19:25:52,-38.3833,142.4833,55.81,65,100,20.56
129,Sabzevar,IR,2021-06-06 19:25:53,36.2126,57.6819,85.86,28,0,12.8
130,Dukat,RU,2021-06-06 19:23:47,62.55,155.55,39.72,89,97,7.31
131,Tiarei,PF,2021-06-06 19:23:10,-17.5333,-149.3333,82.42,76,24,11.48
132,Tsarychanka,UA,2021-06-06 19:25:53,48.937,34.4786,56.75,92,75,7.38
133,Guerrero Negro,MX,2021-06-06 19:23:03,27.9769,-114.0611,72.55,54,71,11.45
134,Upernavik,GL,2021-06-06 19:21:43,72.7868,-56.1549,37.4,85,53,3.22
135,Camapua,BR,2021-06-06 19:25:54,-19.5314,-54.0439,90.0,25,7,6.31
136,Saint George,US,2021-06-06 19:21:01,37.1041,-113.5841,100.87,11,1,1.99
137,Kodiak,US,2021-06-06 19:19:43,57.79,-152.4072,53.22,59,19,6.55
138,Nan,TH,2021-06-06 19:25:55,18.8333,100.6667,73.96,97,100,1.57
139,Sitka,US,2021-06-06 19:23:33,57.0531,-135.33,51.69,71,90,6.91
140,Tiksi,RU,2021-06-06 19:22:46,71.6872,128.8694,43.41,66,99,8.16
141,Cherskiy,RU,2021-06-06 19:23:01,68.75,161.3,62.47,45,100,15.17
142,Smrzovka,CZ,2021-06-06 19:25:56,50.7382,15.2464,65.61,55,100,4.14
143,Chalmette,US,2021-06-06 19:25:56,29.9427,-89.9634,76.12,83,90,12.71
144,Flin Flon,CA,2021-06-06 19:25:56,54.7682,-101.865,57.04,88,90,10.87
145,Chuguyevka,RU,2021-06-06 19:25:57,44.1653,133.8633,48.42,97,0,2.86
146,Tateyama,JP,2021-06-06 19:25:57,34.9833,139.8667,70.02,92,100,8.79
147,Ibra,OM,2021-06-06 19:25:57,22.6906,58.5334,81.27,73,0,6.71
148,Cap-Aux-Meules,CA,2021-06-06 19:25:58,47.3821,-61.8597,53.65,66,75,8.05
149,Nanning,CN,2021-06-06 19:25:58,22.8167,108.3167,73.85,71,0,3.29
150,San Isidro,PE,2021-06-06 19:25:59,-12.1167,-77.05,70.02,81,90,9.55
151,Lakes Entrance,AU,2021-06-06 19:25:59,-37.8811,147.981,49.17,73,100,9.22
152,Calvinia,ZA,2021-06-06 19:25:59,-31.4707,19.776,55.58,37,0,13.67
153,Matamba,TZ,2021-06-06 19:26:00,-8.9833,33.9667,52.68,88,88,6.22
154,Codrington,AU,2021-06-06 19:20:47,-38.2667,141.9667,56.17,65,100,18.97
155,Pinheiro Machado,BR,2021-06-06 19:26:00,-31.5783,-53.3811,51.06,84,100,7.9
156,Kharan,PK,2021-06-06 19:26:01,28.5833,65.4167,91.36,29,0,9.62
157,Haines Junction,CA,2021-06-06 19:23:49,60.7522,-137.5108,51.75,76,100,4.61
158,Cayenne,GF,2021-06-06 19:21:04,4.9333,-52.3333,84.24,82,20,1.99
159,Taitung,TW,2021-06-06 19:26:01,22.7583,121.1444,78.12,88,100,3.18
160,Salalah,OM,2021-06-06 19:23:17,17.0151,54.0924,84.29,89,40,9.22
161,Hasaki,JP,2021-06-06 19:22:31,35.7333,140.8333,66.49,86,100,0.22
162,Hangu,CN,2021-06-06 19:26:02,39.2489,117.7892,69.84,51,100,9.84
163,Makakilo City,US,2021-06-06 19:22:51,21.3469,-158.0858,79.12,59,75,17.4
164,Luderitz,NA,2021-06-06 19:18:04,-26.6481,15.1594,66.33,39,0,4.63
165,Faya,SA,2021-06-06 19:13:34,18.3851,42.4509,73.92,54,13,1.14
166,Umm Kaddadah,SD,2021-06-06 19:26:03,13.6017,26.6876,92.71,11,1,9.48
167,Tankhoy,RU,2021-06-06 19:26:03,51.5528,105.1306,43.79,94,100,7.52
168,Terney,RU,2021-06-06 19:26:04,45.0503,136.6092,51.33,91,0,8.81
169,Carbonia,IT,2021-06-06 19:26:04,39.1672,8.5222,72.0,84,0,8.03
170,Tahta,EG,2021-06-06 19:26:05,26.7693,31.5021,86.32,17,2,11.83
171,Torbay,CA,2021-06-06 19:23:12,47.6666,-52.7314,46.76,92,90,20.71
172,Katherine,AU,2021-06-06 19:26:05,-14.4667,132.2667,59.32,77,73,6.31
173,Dehloran,IR,2021-06-06 19:26:05,32.6941,47.2679,95.09,10,0,7.18
174,Yulara,AU,2021-06-06 19:22:40,-25.2406,130.9889,42.64,65,9,5.75
175,Mumford,GH,2021-06-06 19:26:06,5.2618,-0.759,81.01,81,48,12.91
176,Klaksvik,FO,2021-06-06 19:22:45,62.2266,-6.589,50.92,98,100,17.34
177,Barrow,US,2021-06-06 19:20:16,71.2906,-156.7887,30.22,93,90,13.8
178,Lesnoye,RU,2021-06-06 19:26:07,58.2841,35.5158,59.59,59,6,1.7
179,College,US,2021-06-06 19:26:07,64.8569,-147.8028,64.35,54,75,6.91
180,Hermanus,ZA,2021-06-06 19:18:05,-34.4187,19.2345,69.91,43,0,11.43
181,San Patricio,US,2021-06-06 19:22:41,28.017,-97.5169,91.81,65,6,17.11
182,Mount Gambier,AU,2021-06-06 19:23:25,-37.8333,140.7667,55.31,71,75,14.97
183,Predivinsk,RU,2021-06-06 19:26:08,57.0669,93.4378,54.59,87,97,12.44
184,Waddan,LY,2021-06-06 19:26:08,29.1614,16.139,85.55,18,0,9.73
185,Opuwo,NA,2021-06-06 19:22:43,-18.0607,13.84,62.08,37,0,8.14
186,Souillac,MU,2021-06-06 19:23:31,-20.5167,57.5167,73.78,83,40,9.31
187,Mahebourg,MU,2021-06-06 19:21:00,-20.4081,57.7,73.69,83,40,9.22
188,Chokurdakh,RU,2021-06-06 19:23:47,70.6333,147.9167,36.19,80,100,7.74
189,Paamiut,GL,2021-06-06 19:22:42,61.994,-49.6678,37.9,98,100,2.3
190,Vanimo,PG,2021-06-06 19:26:09,-2.6741,141.3028,76.91,89,100,4.59
191,Chany,RU,2021-06-06 19:26:10,55.3121,76.7647,55.92,67,1,8.3
192,Save,BJ,2021-06-06 19:26:10,8.0425,2.486,80.42,70,30,8.86
193,Airai,TL,2021-06-06 19:20:41,-8.9266,125.4092,55.2,84,73,2.86
194,Sibolga,ID,2021-06-06 19:23:14,1.7427,98.7792,75.22,78,37,3.62
195,Tuatapere,NZ,2021-06-06 19:23:35,-46.1333,167.6833,41.25,91,28,4.25
196,Batangafo,CF,2021-06-06 19:26:11,7.3008,18.2833,76.1,71,40,4.5
197,Madimba,TZ,2021-06-06 19:26:11,-10.4,40.3333,72.64,78,0,10.38
198,Shilka,RU,2021-06-06 19:26:12,51.85,116.0333,58.57,45,10,5.21
199,Ambalavao,MG,2021-06-06 19:26:12,-21.8333,46.9333,51.03,94,79,6.11
200,Zunyi,CN,2021-06-06 19:26:12,27.6867,106.9072,68.79,71,95,1.54
201,Hithadhoo,MV,2021-06-06 19:21:39,-0.6,73.0833,83.17,74,9,14.0
202,Katsuura,JP,2021-06-06 19:23:29,35.1333,140.3,70.11,89,99,3.44
203,Clyde River,CA,2021-06-06 19:20:33,70.4692,-68.5914,35.83,93,90,12.66
204,Alice Springs,AU,2021-06-06 19:25:04,-23.7,133.8833,36.95,75,26,2.19
205,Shitanjing,CN,2021-06-06 19:24:37,39.2342,106.3439,65.8,50,99,11.45
206,Redcar,GB,2021-06-06 19:26:14,54.6166,-1.06,62.85,64,82,5.82
207,East London,ZA,2021-06-06 19:22:55,-33.0153,27.9116,63.48,42,0,9.51
208,Aquiraz,BR,2021-06-06 19:22:29,-3.9014,-38.3911,86.09,70,13,5.48
209,Oranjemund,NA,2021-06-06 19:26:14,-28.55,16.4333,69.42,31,0,6.53
210,Ancud,CL,2021-06-06 19:24:10,-41.8697,-73.8203,51.22,80,100,15.5
211,Bereda,ES,2021-06-06 19:22:45,43.2686,-7.5406,62.01,85,23,5.73
212,Victoria,HK,2021-06-06 19:26:15,22.2855,114.1577,82.33,85,44,4.0
213,Medina,SA,2021-06-06 19:26:15,24.4686,39.6142,104.43,5,0,9.22
214,Almaznyy,RU,2021-06-06 19:26:16,48.0448,40.045,57.34,91,30,8.86
215,Inta,RU,2021-06-06 19:26:16,66.0317,60.1659,40.46,55,87,9.75
216,Bismil,TR,2021-06-06 19:26:16,37.8486,40.6658,78.42,24,0,7.07
217,Lavrentiya,RU,2021-06-06 19:26:17,65.5833,-171.0,34.74,81,99,5.93
218,Lanivtsi,UA,2021-06-06 19:26:17,49.8633,26.0908,56.52,87,32,8.01
219,Khatanga,RU,2021-06-06 19:23:45,71.9667,102.5,32.76,90,97,5.55
220,Suwalki,PL,2021-06-06 19:26:18,54.1118,22.9309,57.74,83,3,7.38
221,Evensk,RU,2021-06-06 19:26:18,61.95,159.2333,46.72,84,99,7.0
222,Beringovskiy,RU,2021-06-06 19:23:33,63.05,179.3167,34.74,99,100,4.21
223,Tilichiki,RU,2021-06-06 19:23:37,60.4667,166.1,37.08,95,100,8.39
224,Roma,US,2021-06-06 19:25:57,43.2128,-75.4557,89.89,44,1,8.05
225,Sarab,IR,2021-06-06 19:26:19,38.6066,44.9883,67.23,25,0,7.16
226,Baghdad,IQ,2021-06-06 19:20:07,33.3406,44.4009,87.71,19,0,16.89
227,Gawler,AU,2021-06-06 19:26:19,-34.6,138.7333,58.64,71,19,14.99
228,Gigmoto,PH,2021-06-06 19:24:46,13.7796,124.39,80.26,83,100,2.8
229,Bairiki,KI,2021-06-06 19:26:20,1.3292,172.9752,82.4,74,20,11.39
230,Shache,CN,2021-06-06 19:26:20,38.4167,77.2406,79.45,18,99,8.3
231,Adrar,MR,2021-06-06 19:22:35,20.5022,-10.0711,105.26,9,94,13.38
232,Fukue,JP,2021-06-06 19:22:38,32.6881,128.8419,69.06,69,100,3.69
233,Lasa,IT,2021-06-06 19:24:54,46.6166,10.7002,63.48,90,100,3.6
234,Yaring,TH,2021-06-06 19:26:21,6.8662,101.3689,79.05,85,100,8.79
235,Kalat,PK,2021-06-06 19:26:21,29.0225,66.5916,73.09,46,0,4.88
236,Tarakan,ID,2021-06-06 19:26:22,3.3,117.6333,81.45,74,100,2.86
237,Aberdeen,GB,2021-06-06 19:26:22,57.1437,-2.0981,54.82,82,88,6.91
238,West Wendover,US,2021-06-06 19:26:22,40.7391,-114.0733,76.21,15,1,5.75
239,Hirado,JP,2021-06-06 19:26:23,33.3597,129.5531,68.36,80,100,4.56
240,Hovd,MN,2021-06-06 19:24:53,48.0056,91.6419,46.99,41,7,5.95
241,Faanui,PF,2021-06-06 19:23:33,-16.4833,-151.75,80.74,74,18,10.92
242,Maues,BR,2021-06-06 19:26:23,-3.3836,-57.7186,88.68,55,98,1.74
243,Zhigansk,RU,2021-06-06 19:22:59,66.7697,123.3711,46.85,50,100,6.85
244,Guatire,VE,2021-06-06 19:26:24,10.4762,-66.5427,79.3,79,100,2.64
245,Monywa,MM,2021-06-06 19:26:25,22.1167,95.1333,85.21,59,100,7.36
246,Vila Do Maio,CV,2021-06-06 19:26:25,15.1333,-23.2167,77.79,87,22,19.01
247,Macusani,PE,2021-06-06 19:26:25,-14.0833,-70.4333,44.06,68,74,6.89
248,Zheleznodorozhnyy,RU,2021-06-06 19:26:26,55.7503,38.0042,64.36,89,100,5.28
249,Tabou,CI,2021-06-06 19:22:02,4.423,-7.3528,77.88,88,100,9.48
250,Lata,PT,2021-06-06 19:26:26,40.1629,-8.3327,64.35,58,0,5.35
251,Mozarlandia,BR,2021-06-06 19:26:27,-14.7447,-50.5706,91.35,28,100,2.91
252,Klyuchevskiy,RU,2021-06-06 19:26:27,53.5317,119.4519,51.98,71,10,2.66
253,Chifeng,CN,2021-06-06 19:26:27,42.2683,118.9636,63.59,52,100,5.48
254,Aykhal,RU,2021-06-06 19:26:28,66.0,111.5,37.22,91,100,16.71
255,Anadyr,RU,2021-06-06 19:23:56,64.75,177.4833,46.9,57,75,10.22
256,Nanortalik,GL,2021-06-06 19:24:55,60.1432,-45.2371,46.29,66,100,14.43
257,Graaff-Reinet,ZA,2021-06-06 19:24:13,-32.2522,24.5308,54.91,28,0,9.53
258,Luang Prabang,LA,2021-06-06 19:26:28,19.8856,102.1347,74.52,99,100,1.07
259,San Policarpo,PH,2021-06-06 19:22:06,12.1791,125.5072,77.56,88,100,4.7
260,San Marcos,US,2021-06-06 19:24:38,33.1434,-117.1661,79.41,64,75,8.01
261,Turbat,PK,2021-06-06 19:26:30,26.0023,63.044,83.25,70,0,6.93
262,Nuuk,GL,2021-06-06 19:24:48,64.1835,-51.7216,45.21,87,90,9.22
263,Rio Gallegos,AR,2021-06-06 19:23:51,-51.6226,-69.2181,42.85,61,40,17.27
264,Zhezkazgan,KZ,2021-06-06 19:23:30,47.8043,67.7144,65.59,25,100,10.36
265,Tanout,NE,2021-06-06 19:26:31,14.9709,8.8879,90.55,29,96,9.82
266,Lintangan,PH,2021-06-06 19:26:31,7.2155,121.952,79.03,82,100,1.07
267,Sulingen,DE,2021-06-06 19:26:31,52.6833,8.8,63.99,92,96,7.58
268,Kaitangata,NZ,2021-06-06 19:20:26,-46.2817,169.8464,46.45,79,96,0.96
269,Agirish,RU,2021-06-06 19:26:32,61.9247,63.0231,46.85,51,64,6.82
270,Kalulushi,ZM,2021-06-06 19:26:32,-12.8378,28.0919,61.29,51,84,8.9
271,Lar,IN,2021-06-06 19:26:32,26.2039,83.9717,91.6,41,0,7.52
272,Mayo,US,2021-06-06 19:26:33,38.8876,-76.5119,96.75,61,8,1.99
273,Necochea,AR,2021-06-06 19:23:46,-38.5473,-58.7368,55.04,48,100,2.62
